name,minutes_played,passes_total,passes_success,is_pro,goals,assists,shots_total,shots_on_target,duels_won,duels_total,ball_losses,recoveries
I. Fiebig,93.92,7.88,4.16,0,,,,,,,,
N. Scharen-3,68.33,31.96,25.78,0,0.02,0.04,0.33,0.04,14.27,22.78,10.36,10.84
E. Rrudhani,69.97,25.26,15.64,0,0.14,0.17,2.43,0.78,19.4,29.74,14.4,7.14
I. Onwuzulike,84.2,47.96,36.27,0,0.04,0.04,0.51,0.13,11.96,19.0,14.04,12.07
B. Rakic,69.17,12.95,9.32,0,0.4,0.14,2.51,1.27,15.95,21.9,8.67,3.24
S. Hochli,81.98,33.26,24.72,0,0.32,0.14,2.28,1.04,27.46,38.8,16.6,7.62
A. Butti,62.87,20.83,16.09,0,0.17,0.02,1.36,0.47,16.89,25.13,10.53,6.55
E. Meili,84.35,43.76,36.03,0,0.01,0.0,0.18,0.04,14.85,23.16,10.12,10.22
E. Ejupi,58.75,14.46,11.89,0,0.18,0.07,1.46,0.62,14.73,20.54,7.57,3.7
R. Demiri,46.07,7.68,4.75,0,0.29,0.04,0.96,0.57,11.11,15.43,6.89,2.5
L. Ziegler,42.9,19.19,14.81,0,0.1,0.1,1.1,0.38,14.43,21.76,8.1,4.95
P. Sebök,48.13,19.07,14.07,0,0.07,0.0,0.47,0.13,7.13,11.27,7.0,4.33
F. Di Brizzi,48.69,19.81,14.16,0,0.06,0.0,0.78,0.22,11.62,17.09,9.31,5.75
A. Krasniqi,64.32,24.12,16.12,0,0.04,0.08,0.88,0.12,16.88,25.0,12.76,9.12
A. Morina,61.85,19.21,13.26,0,0.21,0.03,1.81,0.66,17.95,26.03,10.79,5.61
L. Dzambo,45.38,16.73,10.19,0,0.14,0.11,1.08,0.46,10.76,16.03,7.27,4.27
A. Barletta,77.34,23.3,15.47,0,0.32,0.15,2.11,1.04,12.75,18.51,10.0,3.83
M. Mekonen,48.55,15.14,10.5,0,0.05,0.0,0.59,0.18,14.68,20.82,8.0,3.77
F. Rapino,57.15,20.98,15.58,0,0.13,0.02,1.02,0.5,16.25,24.37,10.97,7.12
G. Selmanaj,58.41,23.7,16.7,0,0.0,0.04,0.11,0.04,11.19,17.48,9.78,6.48
T. Senti,56.24,16.35,10.65,0,0.11,0.02,0.63,0.22,12.02,16.85,8.74,3.98
N. Brogli,95.52,9.04,4.34,0,,,,,,,,
Е. Öztürk,65.22,10.31,7.92,0,0.36,0.11,1.5,0.64,12.28,16.69,7.06,3.0
Y. Odin,82.54,39.46,32.32,0,0.1,0.08,1.1,0.33,33.72,51.18,16.4,15.21
R. Xhemaili,35.77,11.91,8.09,0,0.05,0.05,0.41,0.14,8.14,12.77,5.82,4.73
M. Serratore,84.44,39.24,27.84,0,0.09,0.04,0.36,0.13,16.93,26.64,16.0,11.82
L. Maksutaj,78.37,21.7,16.52,0,0.24,0.17,1.74,0.67,17.8,24.63,11.28,5.5
T. Okafor,64.75,20.09,12.46,0,0.12,0.1,1.09,0.49,15.77,23.01,11.64,6.26
A. Babic,53.24,10.64,8.0,0,0.26,0.07,1.38,0.64,12.0,15.64,7.21,1.95
G. Foro,84.57,41.91,32.3,0,0.1,0.06,1.48,0.48,13.37,20.34,11.37,11.66
T. Citherlet,88.46,49.77,40.16,0,0.08,0.03,0.39,0.16,14.8,24.0,11.85,12.07
V. Marinkovic,39.78,15.67,11.17,0,0.0,0.0,0.44,0.22,11.83,17.28,7.33,5.39
D. Gaetano,66.57,21.41,15.61,0,0.09,0.1,1.71,0.61,14.59,20.91,10.34,6.26
D. Ivanovski,54.43,9.5,5.71,0,0.31,0.12,2.36,1.29,16.43,22.31,8.19,2.83
D. Recica,66.19,21.45,14.76,0,0.24,0.12,1.4,0.6,26.9,39.02,15.05,5.48
D. Ilazi,55.07,21.89,16.75,0,0.13,0.08,0.72,0.36,11.92,17.69,7.98,4.95
A. Sulejmani,33.1,10.0,7.3,0,0.5,0.2,1.1,0.7,11.2,15.0,7.0,1.7
B. Canzian,51.64,19.14,12.21,0,0.0,0.0,0.5,0.0,11.07,16.71,10.86,6.07
Y. Aldaheri,59.3,23.53,18.32,0,0.04,0.04,0.32,0.11,17.79,25.47,10.81,8.58
M. Varano,68.59,26.1,17.56,0,0.13,0.05,0.82,0.36,22.97,34.49,14.38,10.05
D. Philips,62.62,19.81,13.31,0,0.19,0.0,1.35,0.38,17.69,26.0,11.42,7.12
T. Banyoczki,71.21,29.88,23.19,0,0.1,0.0,0.6,0.25,14.56,21.88,10.77,8.44
I. Cossalter,71.37,22.09,16.74,0,0.33,0.11,1.95,1.0,22.21,30.72,11.59,4.72
K. Nsang,70.08,33.38,23.59,0,0.13,0.13,0.87,0.33,18.38,27.51,12.59,8.77
L. Romano,90.31,44.97,36.37,0,0.18,0.08,1.13,0.44,15.56,23.68,11.03,11.16
T. Hostettler,75.25,29.14,20.3,0,0.0,0.07,0.23,0.05,19.34,29.66,13.8,8.3
R. Klein,33.47,5.77,4.17,0,0.17,0.0,1.33,0.57,9.1,12.7,4.33,2.13
M. Ahmed,69.13,30.3,23.9,0,0.03,0.03,1.13,0.27,14.27,20.33,10.17,7.67
Edvin Osmani,58.12,26.67,20.65,0,0.09,0.02,0.33,0.19,14.63,22.93,8.47,8.63
D. Berger,80.34,39.32,31.34,0,0.0,0.05,0.34,0.08,18.24,28.08,13.69,12.42
J. Holder,72.0,19.03,13.16,0,0.34,0.23,1.32,0.71,16.48,22.97,12.16,4.26
D. Macello,91.48,43.66,33.62,0,0.0,0.02,0.18,0.03,13.11,21.11,11.15,10.64
E. Rexhepi,70.62,44.31,34.06,0,0.0,0.06,0.56,0.31,11.25,17.44,11.62,10.31
A. Chandrakanthan,36.44,11.17,6.56,0,0.0,0.0,0.11,0.06,11.67,16.89,8.39,4.0
R. Benelmir,53.86,21.05,17.33,0,0.0,0.0,0.24,0.0,13.29,19.71,7.19,5.62
U. Nwannah,81.89,44.04,35.89,0,0.11,0.04,0.48,0.3,17.81,29.63,12.04,14.3
D. Bytyqi,68.02,29.3,21.8,0,0.04,0.04,0.7,0.2,13.2,19.93,8.61,8.44
B. Demi,33.55,9.45,5.91,0,0.18,0.0,0.64,0.27,8.55,12.91,5.82,2.82
F. Tekia,60.8,22.6,16.6,0,0.1,0.1,1.7,0.75,17.0,24.3,10.3,5.95
I. Flaig,60.93,21.89,13.61,0,0.07,0.13,0.65,0.24,14.57,21.65,12.52,6.65
G. Incognito,74.98,19.38,14.65,0,0.44,0.05,1.92,0.98,19.7,27.91,10.5,5.26
E. Zendeli,71.5,16.21,11.5,0,0.07,0.14,0.64,0.29,22.36,30.14,13.64,5.14
F. Haxhiu,49.43,15.62,11.57,0,0.16,0.08,1.27,0.43,12.84,18.3,7.97,4.43
N. Cavka,67.47,13.88,10.88,0,0.59,0.12,2.25,1.28,16.75,23.34,8.19,4.34
